"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"1332";"«ОВД Строгинo», улица Твардовского (1332)";"37.39852798";"55.7944283";"улица Твардовского";"Северо-Западный административный округ";"район Строгино";"А640; А652; А743; А782";"ОВД Строгинo";"";"да";"ГУП «Мосгортранс»";"активна";"889086239";"{type=Point, coordinates=[37.39852798, 55.7944283]}";
"1333";"«Ул. Твардовского, 21», улица Твардовского (1333)";"37.4039560638";"55.7946121775";"улица Твардовского";"Северо-Западный административный округ";"район Строгино";"А640; А652; А743; А782";"Ул. Твардовского, 21";"";"да";"ГУП «Мосгортранс»";"активна";"889086240";"{type=Point, coordinates=[37.4039560638, 55.7946121775]}";
"1334";"«Ул. Твардовского», улица Твардовского (1334)";"37.40909532";"55.79625724";"улица Твардовского";"Северо-Западный административный округ";"район Строгино";"А137; А640; А652; А743; А782";"Ул. Твардовского";"";"да";"ГУП «Мосгортранс»";"активна";"889086241";"{type=Point, coordinates=[37.40909532, 55.79625724]}";
"1335";"«Стоматологическая п-ка», Таллинская улица (1335)";"37.40705092";"55.79997202";"Таллинская улица";"Северо-Западный административный округ";"район Строгино";"А137; А640; А652; А743; А782";"Стоматологическая п-ка";"";"да";"ГУП «Мосгортранс»";"активна";"889086242";"{type=Point, coordinates=[37.40705092, 55.79997202]}";
"1336";"«Метро Строгино», Таллинская улица (1336)";"37.40822013";"55.80170425";"Таллинская улица";"Северо-Западный административный округ";"район Строгино";"А137; А640; А652; А743; А782";"Метро Строгино";"";"да";"ГУП «Мосгортранс»";"активна";"889086243";"{type=Point, coordinates=[37.40822013, 55.80170425]}";
"1337";"«Детская п-ка», Новощукинская улица (1337)";"37.45439344";"55.80550491";"Новощукинская улица";"Северо-Западный административный округ";"район Щукино";"А137; А277; А310; А638; А640; А687; А798";"Детская п-ка";"";"да";"ГУП «Мосгортранс»";"активна";"889086244";"{type=Point, coordinates=[37.45439344, 55.80550491]}";
"1338";"«Метро Щукинская», улица Маршала Василевского (1338)";"37.46552057";"55.80774806";"улица Маршала Василевского";"Северо-Западный административный округ";"район Щукино";"А105; А60; А800";"Метро Щукинская";"";"да";"ГУП «Мосгортранс»";"активна";"889086245";"{type=Point, coordinates=[37.46552057, 55.80774806]}";
"1340";"«Детская п-ка», Новощукинская улица (1340)";"37.45295859";"55.80574253";"Новощукинская улица";"Северо-Западный административный округ";"район Строгино";"А137; А277; А310; А638; А640; А687; А798";"Ул. Твардовского, 21";"";"да";"ГУП «Мосгортранс»";"активна";"889086246";"{type=Point, coordinates=[37.45295859, 55.80574253]}";
"1341";"«Метро Строгино», Таллинская улица (1341)";"37.4073476";"55.80131556";"Таллинская улица";"Северо-Западный административный округ";"район Строгино";"А137; А640; А652; А743; А782";"Метро Строгино";"";"да";"ГУП «Мосгортранс»";"активна";"889086247";"{type=Point, coordinates=[37.4073476, 55.80131556]}";
"1342";"«Стоматологическая п-ка», улица Твардовского (1342)";"37.40747642";"55.79883175";"улица Твардовского";"Северо-Западный административный округ";"район Строгино";"А137; А640; А652; А743; А782";"Стоматологическая п-ка";"";"да";"ГУП «Мосгортранс»";"активна";"889086248";"{type=Point, coordinates=[37.40747642, 55.79883175]}";
"1343";"«Ул. Твардовского», улица Твардовского (1343)";"37.4082576";"55.79588323";"улица Твардовского";"Северо-Западный административный округ";"район Строгино";"А137; А640; А652; А743; А782";"Ул. Твардовского";"";"да";"ГУП «Мосгортранс»";"активна";"889086249";"{type=Point, coordinates=[37.4082576, 55.79588323]}";
"1344";"«Ул. Твардовского, 21», улица Твардовского (1344)";"37.40284849";"55.7947712";"улица Твардовского";"Северо-Западный административный округ";"район Строгино";"А640; А652; А743; А782";"Ул. Твардовского, 21";"";"да";"ГУП «Мосгортранс»";"активна";"889086250";"{type=Point, coordinates=[37.40284849, 55.7947712]}";
"1345";"«ОВД Строгино», улица Твардовского (1345)";"37.39562693";"55.79458001";"улица Твардовского";"Северо-Западный административный округ";"район Строгино";"А640; А652; А743; А782";"ОВД Строгино";"";"да";"ГУП «Мосгортранс»";"активна";"889086251";"{type=Point, coordinates=[37.39562693, 55.79458001]}";
